Time,interest
2023-10-08T12:45:00,55
2023-10-08T12:46:00,55
2023-10-08T12:47:00,56
2023-10-08T12:48:00,60
2023-10-08T12:49:00,59
2023-10-08T12:50:00,60
2023-10-08T12:51:00,61
2023-10-08T12:52:00,62
2023-10-08T12:53:00,57
2023-10-08T12:54:00,61
2023-10-08T12:55:00,58
2023-10-08T12:56:00,61
2023-10-08T12:57:00,58
2023-10-08T12:58:00,60
2023-10-08T12:59:00,61
2023-10-08T13:00:00,60
2023-10-08T13:01:00,62
2023-10-08T13:02:00,63
2023-10-08T13:03:00,64
2023-10-08T13:04:00,58
2023-10-08T13:05:00,62
2023-10-08T13:06:00,63
2023-10-08T13:07:00,57
2023-10-08T13:08:00,59
2023-10-08T13:09:00,59
2023-10-08T13:10:00,62
2023-10-08T13:11:00,63
2023-10-08T13:12:00,64
2023-10-08T13:13:00,60
2023-10-08T13:14:00,62
2023-10-08T13:15:00,61
2023-10-08T13:16:00,66
2023-10-08T13:17:00,63
2023-10-08T13:18:00,70
2023-10-08T13:19:00,65
2023-10-08T13:20:00,63
2023-10-08T13:21:00,67
2023-10-08T13:22:00,70
2023-10-08T13:23:00,61
2023-10-08T13:24:00,64
2023-10-08T13:25:00,63
2023-10-08T13:26:00,60
2023-10-08T13:27:00,60
2023-10-08T13:28:00,65
2023-10-08T13:29:00,65
2023-10-08T13:30:00,65
2023-10-08T13:31:00,76
2023-10-08T13:32:00,92
2023-10-08T13:33:00,100
2023-10-08T13:34:00,99
2023-10-08T13:35:00,94
2023-10-08T13:36:00,95
2023-10-08T13:37:00,91
2023-10-08T13:38:00,93
2023-10-08T13:39:00,88
2023-10-08T13:40:00,87
2023-10-08T13:41:00,87
