Time,formula 1: (Worldwide)
2023-07-09T09:52:00,44
2023-07-09T09:53:00,44
2023-07-09T09:54:00,44
2023-07-09T09:55:00,43
2023-07-09T09:56:00,45
2023-07-09T09:57:00,44
2023-07-09T09:58:00,45
2023-07-09T09:59:00,46
2023-07-09T10:00:00,50
2023-07-09T10:01:00,50
2023-07-09T10:02:00,48
2023-07-09T10:03:00,48
2023-07-09T10:04:00,52
2023-07-09T10:05:00,50
2023-07-09T10:06:00,53
2023-07-09T10:07:00,45
2023-07-09T10:08:00,48
2023-07-09T10:09:00,45
2023-07-09T10:10:00,45
2023-07-09T10:11:00,52
2023-07-09T10:12:00,54
2023-07-09T10:13:00,55
2023-07-09T10:14:00,56
2023-07-09T10:15:00,50
2023-07-09T10:16:00,51
2023-07-09T10:17:00,55
2023-07-09T10:18:00,50
2023-07-09T10:19:00,50
2023-07-09T10:20:00,51
2023-07-09T10:21:00,51
2023-07-09T10:22:00,55
2023-07-09T10:23:00,60
2023-07-09T10:24:00,58
2023-07-09T10:25:00,53
2023-07-09T10:26:00,53
2023-07-09T10:27:00,58
2023-07-09T10:28:00,57
2023-07-09T10:29:00,67
2023-07-09T10:30:00,100
2023-07-09T10:31:00,85
2023-07-09T10:32:00,82
2023-07-09T10:33:00,73
2023-07-09T10:34:00,75
2023-07-09T10:35:00,74
2023-07-09T10:36:00,72
2023-07-09T10:37:00,71
2023-07-09T10:38:00,65
2023-07-09T10:39:00,64
2023-07-09T10:40:00,61
2023-07-09T10:41:00,62
2023-07-09T10:42:00,62
2023-07-09T10:43:00,55
2023-07-09T10:44:00,57
2023-07-09T10:45:00,59
2023-07-09T10:46:00,58
2023-07-09T10:47:00,55
2023-07-09T10:48:00,53
